Code,LC_Code,GC,Name_CN,Name_EN,Address_CN,Address_EN,Code_1,Lat,Long,NewColumn.Address,NewColumn.Lat,NewColumn.Lon,NewColumn.Index
A0601,A06,HKI,??????????????????,HKYWCA Western District Integrated Social Service Centre,????????9-15??????1?,"Flat A, 1/F, Block 1, Centenary Mansion, 9-15 Victoria Road, Western District, Hong Kong",A0601,22.281917,114.125752,????????9-15??????1?A?2?,22.281913,114.125754,83
B0601,B06,HKI,??????????,"Wan Chai District Arts, Cultural, Recreational & Sports Association",??????????? (????????),"Moreton Terrace, Underneath Tai Hang Road, Flyover, Causeway Bay, Hong Kong (Beside Hong Kong Central Library)",B0601,22.280061,114.189029,???????????(????????),22.278756,114.189132,66
F1401,F14,KW,???????????????????????????,POH Mei Foo Lai Wan Kaifong Association Mr. and Mrs. Leung Chi Chim Elderly Health Support and Learning Centre,????????? (?????),"Kwai Chung Flyover, Mei Foo Sun Chuen, Kowloon",F1401,22.337581,114.13829,?????????(?????),22.3373818,114.1364843,266
K1501,K15,NTW,???????,Lei Muk Shue Community Hall,?????????????,"G/F, Hong Shue House, Lei Muk Shue Estate, Tsuen Wan, New Territories",K1501,22.3789883,114.1368288,????????????????????,22.37903,114.1346659,384
K1701,K17,NTW,????????????????,HKTA YYI Shek Wai Kok Primary School,?????????2????,"Estate Primary School No.2, Shek Wai Kok Estate, Tsuen Wan, New Territories",K1701,22.37466,114.122211,?????????2????????????????????,22.3745936,114.122211,366
K1802,K18,NTW,???????????,Tsuen Wan Public Ho Chuen Yiu Memorial College,?????????????1?,"Estate Secondary School No.1, Shek Wai Kok Estate, Tsuen Wan, New Territories",K1802,22.3758833,114.1263778,?????????????1????????????,22.3758833,114.1241837,371
P0301,P03,NTE,????????????,NTW&JWAL Leung Sing Tak Primary School,???????,"Tai Yuen Estate, Tai Po, New Territories",P0301,22.454509,114.166803,???????????????????,22.454509,114.1646089,503
P0401,P04,NTE,??????,Tai Yuen Community Hall,???????,"Tai Yuen Estate, Tai Po, New Territories",P0401,22.455499,114.16845,?????????????,22.455499,114.1662559,508
P0601,P06,NTE,??????,Fu Shin Community Hall,???????,"Fu Shin Estate, Tai Po, New Territories",P0601,22.45468,114.176401,?????????????,22.454625,114.1732644,504
P0701,P07,NTE,???????????????,HKTA The Yuen Yuen Institute No. 2 Secondary School,???????,"Fu Shin Estate, Tai Po, New Territories",P0701,22.4528982,114.1763163,??????????????????????,22.4528982,114.1741222,499
P1704,P17,NTE,????????????,Confucian Tai Shing Ho Kwok Pui Chun College,???????,"Fu Shin Estate, Tai Po, New Territories",P1704,22.455503,114.175989,???????????????????,22.455503,114.1737949,509
P0801,P08,NTE,??????,Kwong Fuk Community Hall,???????,"Kwong Fuk Estate, Tai Po, New Territories",P0801,22.447365,114.174264,?????????????,22.448593,114.1724674,491
P0901,P09,NTE,?????????,Tai Po Baptist Public School,???????,"Kwong Fuk Estate, Tai Po, New Territories",P0901,22.447208,114.175653,????????????????,22.447163,114.1734809,486
P1001,P10,NTE,??????????,Hong Kong Teachers' Association Lee Heng Kwei Secondary School,????????,"Wan Tau Tong Estate, Tai Po, New Territories",P1001,22.442663,114.169421,??????????????????,22.442663,114.1672269,474
P1101,P11,NTE,?????????,Wan Tau Tong Neighbourhood Community Centre,????????,"Wan Tau Tong Estate, Tai Po, New Territories",P1101,22.442118,114.166074,?????????????????,22.4420115,114.1643629,470
P1501,P15,NTE,???????????,Lam Tsuen Public Wong Fook Luen Memorial School,???????,"Tai Wo Estate, Tai Po, New Territories",P1501,22.450527,114.163391,??????????????????,22.450527,114.1611969,493
P1601,P16,NTE,????????,Tai Wo Neighbourhood Community Centre,???????,"Tai Wo Estate, Tai Po, New Territories",P1601,22.4526093,114.1615387,???????????????,22.4525025,114.1593899,498
Q1401,Q14,NTE,???????,Tseung Kwan O Government Primary School,????????,"Hau Tak Estate, Tseung Kwan O, New Territories",Q1401,22.318283,114.263378,???????????????,22.318283,114.2611839,187
Q2101,Q21,NTE,???????,Catholic Ming Yuen Secondary School,????????,"Hau Tak Estate, Tseung Kwan O, New Territories",Q2101,22.3178348,114.2642182,???????????????,22.3178348,114.2620241,182
Q1501,Q15,NTE,?????,Tsui Lam Sports Centre,????????,"Tsui Lam Estate, Tseung Kwan O, New Territories",Q1501,22.32217,114.249562,?????????????,22.32217,114.2473679,209
Q1601,Q16,NTE,??????,Tsui Lam Community Hall,????????,"Tsui Lam Estate, Tseung Kwan O, New Territories",Q1601,22.324369,114.248144,??????????????,22.32217,114.2473679,210
Q1701,Q17,NTE,??????,Carmel Divine Grace Foundation Secondary School,????????,"Po Lam Estate, Tseung Kwan O, New Territories",Q1701,22.326664,114.254608,??????????????,22.326664,114.2524139,228
Q1801,Q18,NTE,?????????,Po Lam Multipurpose Hall,????????,"Po Lam Estate, Tseung Kwan O, New Territories",Q1801,22.324894,114.257118,?????????????????,22.324874,114.2539269,222
R1901,R19,NTE,???????,Buddhist Wong Wan Tin College,?????????,"Mei Lam Estate, Tai Wai, Sha Tin, New Territories",R1901,22.377847,114.178162,????????????????,22.377847,114.1759679,379
R2001,R20,NTE,????,Lock Tao Secondary School,?????????,"Mei Lam Estate, Tai Wai, Sha Tin, New Territories",R2001,22.3802343,114.1745034,?????????????,22.3802343,114.1723093,387
S1901,S19,NTW,???(??)????,Delia (Man Kiu) English Primary School,????????2?,"Phase 2, Cheung On Estate, Tsing Yi, New Territories",S1901,22.360452,114.105668,????????2????(??)????,22.3604482,114.1056191,319
S2101,S21,NTW,??????,Tsuen Wan Trade Association Primary School,????????1??1?,"Phase 1, Area 1, Tsing Yi Estate, Tsing Yi, New Territories",S2101,22.353978,114.102734,????????1??1???????,22.353978,114.1005399,313
S2501,S25,NTW,??????????,Lok Sin Tong Leung Chik Wai Memorial School,????????5?,"Phase 5, Cheung Hong Estate, Tsing Yi, New Territories",S2501,22.350409,114.097857,????????5???????????,22.3505788,114.0967287,307
